Nov 15 2017,Sacramento Kings,Atlanta Hawks
Nov 15 2017,Cleveland Cavaliers,Charlotte Hornets
Nov 15 2017,Philadelphia 76ers,Los Angeles Lakers
Nov 15 2017,Indiana Pacers,Memphis Grizzlies
Nov 15 2017,Washington Wizards,Miami Heat
Nov 15 2017,Detroit Pistons,Milwaukee Bucks
Nov 15 2017,San Antonio Spurs,Minnesota Timberwolves
Nov 15 2017,Toronto Raptors,New Orleans Pelicans
Nov 15 2017,Utah Jazz,New York Knicks
Nov 15 2017,Chicago Bulls,Oklahoma City Thunder
Nov 15 2017,Orlando Magic,Portland Trail Blazers
Nov 16 2017,Golden State Warriors,Boston Celtics
Nov 16 2017,Houston Rockets,Phoenix Suns
Nov 17 2017,Utah Jazz,Brooklyn Nets
Nov 17 2017,Charlotte Hornets,Chicago Bulls
Nov 17 2017,Los Angeles Clippers,Cleveland Cavaliers
Nov 17 2017,Minnesota Timberwolves,Dallas Mavericks
Nov 17 2017,New Orleans Pelicans,Denver Nuggets
Nov 17 2017,Detroit Pistons,Indiana Pacers
Nov 17 2017,Phoenix Suns,Los Angeles Lakers
Nov 17 2017,Portland Trail Blazers,Sacramento Kings
Nov 17 2017,Oklahoma City Thunder,San Antonio Spurs
Nov 17 2017,New York Knicks,Toronto Raptors
Nov 17 2017,Miami Heat,Washington Wizards
Nov 18 2017,Boston Celtics,Atlanta Hawks
Nov 18 2017,Los Angeles Clippers,Charlotte Hornets
Nov 18 2017,Milwaukee Bucks,Dallas Mavericks
Nov 18 2017,Houston Rockets,Memphis Grizzlies
Nov 18 2017,Utah Jazz,Orlando Magic
Nov 18 2017,Golden State Warriors,Philadelphia 76ers
Nov 18 2017,Sacramento Kings,Portland Trail Blazers
Nov 19 2017,Golden State Warriors,Brooklyn Nets
Nov 19 2017,Denver Nuggets,Los Angeles Lakers
Nov 19 2017,Indiana Pacers,Miami Heat
Nov 19 2017,Detroit Pistons,Minnesota Timberwolves
Nov 19 2017,Chicago Bulls,Phoenix Suns
Nov 19 2017,Washington Wizards,Toronto Raptors
Nov 20 2017,Minnesota Timberwolves,Charlotte Hornets
Nov 20 2017,Boston Celtics,Dallas Mavericks
Nov 20 2017,Cleveland Cavaliers,Detroit Pistons
Nov 20 2017,Portland Trail Blazers,Memphis Grizzlies
Nov 20 2017,Washington Wizards,Milwaukee Bucks
Nov 20 2017,Oklahoma City Thunder,New Orleans Pelicans
Nov 20 2017,Los Angeles Clippers,New York Knicks
Nov 20 2017,Indiana Pacers,Orlando Magic
Nov 20 2017,Utah Jazz,Philadelphia 76ers
Nov 20 2017,Denver Nuggets,Sacramento Kings
Nov 20 2017,Atlanta Hawks,San Antonio Spurs
Nov 21 2017,Chicago Bulls,Los Angeles Lakers
Nov 22 2017,Los Angeles Clippers,Atlanta Hawks
Nov 22 2017,Washington Wizards,Charlotte Hornets
Nov 22 2017,Brooklyn Nets,Cleveland Cavaliers
Nov 22 2017,Denver Nuggets,Houston Rockets
